query	response
What is the difference between hard constraint and soft constraint in planning?	Hard: Cannot be violated (e.g., capacity). Soft: Can be exceeded with penalty (e.g., preference). Use line items to tag and enforce both.
How to do interpolation between two values in Anaplan?	Use weighted average: `(HighValue - LowValue) * (CurrentX - LowX) / (HighX - LowX) + LowValue`. Requires surrounding reference points.
Why avoid SELECT with Time?	Using `LineItem[SELECT: TIME.'Jan 24']` hardcodes time and breaks dynamic logic. Prefer LOOKUP or direct reference using SYS Time mapping.
How to simulate BOM explosion in Anaplan?	Use modules by component and parent item. Use line items like ComponentQty and multiply by Production Plan to compute requirement.
How to implement alerts in dashboards?	Use conditional formatting based on thresholds (e.g., Inventory < Min), or build line items with alert messages shown as text.
What's the advantage of POST over OFFSET?	POST shifts values into the future by an input period count. OFFSET is used to fetch values from another time. POST is used to move data forward; OFFSET can go both ways.
What is smoothing in forecasting and how to model it?	Smoothing uses weighted averaging over time. Use formula like `0.7 * ThisPeriod + 0.3 * PREVIOUS(AvgForecast)` to implement exponential smoothing.
What's a good way to model batch constraints?	Use MOD function to round orders to nearest batch size. E.g., `CEIL(OrderQty / BatchSize) * BatchSize`.
How do I track unfulfilled demand?	Line item: `IF Demand > Shipments THEN Unfulfilled = Demand - Shipments ELSE 0`. Store and roll over if needed to next period.
How to model cost of poor forecast accuracy?	Use: `ABS(Forecast - Actual) * CostPerUnitError`. Helps quantify the impact of inaccuracy on business.
How to prevent division by zero in Anaplan?	Always check denominator: `IF Denominator <> 0 THEN Numerator / Denominator ELSE 0`. Avoids runtime error.
How to model make-to-order vs make-to-stock flows?	Tag SKUs by strategy, split demand paths. MTO uses actual demand; MTS uses forecast. Separate modules or logic branches are ideal.
What is the purpose of LOOKUP in planning modules?	To pull data across dimensions via mapping. Example: pulling Region target into a SKU-level module using SYS mapping.
How to model promotions impact on demand?	Use Promotion Uplift % line item. Final Demand = Base Forecast * (1 + Promo Uplift %). Add start and end date logic for control.
What is a capacity constraint in supply planning?	It limits how much can be produced or supplied. Use MIN(Supply, CapacityAvailable) logic. Include constraint flag if needed.
What's the difference between ITEM and NAME function?	ITEM returns list-formatted value of current context. NAME returns text name of that list item. Use NAME for matching or display.
How to build an Anaplan-friendly formula for ROP?	ROP = (AvgDailyDemand * LeadTime) + SafetyStock. Ensure consistent units and scale for time (days vs weeks).
How to perform ABC classification in Anaplan?	Rank SKUs by usage or value. Use PERCENTRANK or cumulative % method. Tag A/B/C class with thresholds (e.g., 80/15/5).
What is PERCENTRANK and how is it used?	Used to assign relative percentile rank to values. Example: use for SKU segmentation, service level allocation, or targeting.
How to model delay buffers in lead time planning?	Add buffer line item (e.g., +1 week). POST with extended value: `POST(Order, LeadTime + Buffer)`. Supports risk-resilient planning.
What's the best way to handle decimal to integer conversion?	Use ROUND, FLOOR, or CEIL depending on need. ROUND(Num, 0) gives nearest integer. CEIL/FLOOR for upward/downward rounding.
How to build a demand override module with version control?	Use Scenario as a list. Create override input + base forecast. Final = IF Override? THEN Override ELSE Base. Store overrides by version.
How to implement distribution lead time by region?	Store region-specific lead times in SYS module. Use LOOKUP by Region in planning logic: `POST(OrderQty, SYS.RegionLeadTime[LOOKUP: Region])`.
How to model partial allocation based on supply?	AllocatedQty = MIN(Demand, Supply). Use IF statements to distribute based on hierarchy, fair share, or constraints.
How to implement period-end snapshot in Anaplan?	Use process with Copy action from input to snapshot module. Use Boolean time flag to restrict action to current week.
What is push vs pull in supply chain planning?	Push: Based on forecast, moves inventory ahead. Pull: Based on actual demand. Design modules to show split or simulation.
What's a robust way to model safety stock dynamically?	SS = Z * STDDEV * SQRT(LeadTime). Model Z value (service level factor) and std deviation per SKU or category.
What's the best way to model planning buckets (daily/weekly/monthly)?	Use appropriate Time Range. If hybrid needed, use SYS mapping module to group lower grain to upper (e.g., Week to Month).
What is demand latency and how do you model it?	Delay between actual consumption and demand signal registration. Model via OFFSET or POST delay into planning logic.
What's a good use case for TIMESUM?	Summing across custom period ranges (e.g., Pre-Season to In-Season). Use in reporting or exception detection logic.
How to model inter-site transfers?	Create module with SourceSite, DestSite, SKU. Model orders, in-transit, and receipts using POST and lookup lead time.
How to simulate pipeline inventory in Anaplan?	Pipeline = Orders sent but not received. Use POSTed value minus actual receipts. Update weekly.
What's a clean way to model DIO (Days Inventory Outstanding)?	DIO = (Average Inventory / COGS) * Days in Period. Align units and model with rolling average logic if needed.
What is a good approach for dual-sourcing logic?	Tag sources by priority. Allocate demand across them via ratios or constraints. Use capacity flags and selector logic.
How to model item rationalization impact?	Tag SKUs with Rationalized flag. Zero out demand and supply flows downstream. Filter out in dashboards or reporting.
What is WoS delta and how is it calculated?	WoS Delta = Projected WoS - Target WoS (TWOS). Helps highlight risk of under- or over-stocking. Use separate line items for both and subtract.
How to model fill rate in Anaplan?	Fill Rate = Fulfilled Orders / Orders Placed. For future, use Shipment Plan; for past, use Actual Receipts. Cap at 1 and guard for zero denominator.
What does POST function do in Anaplan?	POST moves a value forward in time by a defined offset. Often used for modeling lead times: `POST(Order, LeadTime)`.
How to use RANK function in SKU segmentation?	RANK SKUs by Revenue, Cost, or Forecast Error. Use `RANK(Value, DESCENDING, SEQUENTIAL)` to classify ABC segments or exceptions.
What is the difference between cumulative demand and rolling demand?	Cumulative demand adds up all demand from the start; rolling demand sums over a moving window. Use CUMULATE vs MOVINGSUM respectively.
What are key constraints in constrained planning?	Supply Constraints: Capacity, Inventory. Demand Constraints: Commitments, Prioritization. Use MIN logic or IF flag switches.
How to model shipment priority in Anaplan?	Assign priority scores or tags to customers/orders. Allocate supply accordingly using sorting, ranking, or IF-THEN logic.
What is backorder logic in Anaplan?	Backorder = Demand - Fulfilled Qty. Store as a line item and allow POST to carry it to next period if needed.
How can you identify circular references?	Circular references happen when a line item indirectly depends on itself. Use OFFSET/POST + helper line items to break loops.
How to calculate inventory turns in Anaplan?	Inventory Turns = COGS / Average Inventory. Use rolling demand as proxy for COGS. Express as annualized if using weekly/monthly data.
How to simulate push vs pull inventory logic?	Push: Use forecast to create orders (planned demand). Pull: Use actual sales/consumption. Design both flows and compare results.
How to flag first non-zero value in Anaplan?	Use: `IF Value <> 0 AND PREVIOUS(CumulativeFlag) = 0 THEN TRUE ELSE FALSE`. CUMULATE + condition isolates first occurrence.
How to model lead time-based snapshots?	Create a system module with IsCurrentWeek? flag. Use POST or OFFSET to snapshot current data into future-pulled line item.
How to calculate safety stock from service level?	Safety Stock = Z * STDDEV(Demand) * SQRT(LeadTime). Store Z for each service level (e.g., 1.64 for 95%).
How to simulate sourcing switch in constrained supply?	Use selector Boolean per source (Vendor A, Vendor B). Use IF statements with capacity logic to dynamically shift allocations.
How to calculate projected inventory in Anaplan?	Inventory(Beginning) + Supply - Demand = Inventory(End). Loop forward week by week using PREVIOUS or helper line items.
What's a best practice for offset logic in rolling projections?	Use OFFSET only with numeric line items and guard using IF ISBLANK or ISNOTBLANK. Use for prior or future period alignment.
What is Z in safety stock formula?	Z is the Z-score associated with desired service level. E.g., Z=1.64 for 95%, 2.06 for 98%. Multiply with std dev of demand.
What's the difference between standard deviation and MAD in forecast error?	STDDEV penalizes large errors more (quadratic), while MAD is linear. MAD is often used in supply chain for robustness.
How to use MOVINGSUM for rolling averages?	MOVINGSUM(LineItem, -N + 1, 0) / N gives rolling average for N periods. Handle edge weeks using IF-THEN for available periods.
How to identify understock situations?	Use `IF Inventory < MinStock THEN TRUE`. Can create alert line items or colored indicators in dashboards.
What's a good dashboard filter structure?	Create separate SYS modules for each dimension (Time, LOB, Scenario). Use Boolean selectors and apply filters in UX pages.
What's a common cause of 'timescale mismatch' error?	Formula refers to a line item with different time scale (e.g., Month vs Week). Use TIME mapping modules or adjust formula scope.
How to perform supply fair share logic?	Calculate Total Demand and Available Supply. Distribute proportionally: `Demand / Total Demand * Supply`. Ensure capped allocation.
What is the right summary for WoS metrics?	Use 'NONE' for time summary and 'Average' or 'Min' at higher hierarchy levels. Prevent aggregation of ratios unless weighted.
How to use LINEITEM SELECTOR in Anaplan UX?	Create LISS (Line Item Subset) and build a selector line item. Use that in UX page as filter for dynamic grid display.
Why use Version as a list instead of native Versions?	Gives flexibility for custom logic, selective access, and easy UX filtering. Native Versions add memory and are more rigid.
How to implement min/max inventory constraints?	Use `IF Inventory < Min THEN Order = Min - Inventory`. Also `IF Inventory > Max THEN Cancel = Inventory - Max`.
What's the role of CUMULATE in constrained demand?	Accumulates shipped quantities to compare against cumulative demand. Helps avoid over-shipment across periods.
What's the logic for 5-week rolling WoS?	Inventory / Average of last 5 weeks of demand. Use MOVINGSUM to calculate average. Handle first 4 weeks separately.
What's the difference between LOOKUP and SUM?	LOOKUP pulls one-to-one using mapping. SUM aggregates many-to-one across dimensions. Use based on directional need.
How to model aging inventory?	Track InventoryAge per lot or batch. Use line items to increment age weekly. Flag items older than threshold for action.
What's the formula for reorder quantity?	OrderQty = MaxStock - CurrentInventory. May also include forecast adjustment or min order size rounding.
How to model fill rate over multiple periods?	Use: SUM(Fulfilled) / SUM(Demand) over period range. Use TIMESELECTED or TIMESUM or aggregation module.
How to use user selectors in UX?	Create user-specific filter module (dimensioned by Users). Use those flags in page selectors and dynamic filters.
What is the 'Not Applicable' strategy in hierarchy design?	Add a 'Not Applicable' item to each list (Location, Channel) to handle default or unmatched scenarios.
How to do inventory aging in batches?	Create batch ID list or use timestamps. Calculate difference between Today and ReceiptDate. Classify by age buckets.
What's the logic behind capacity leveling?	Spread total demand across time considering available capacity. Use IF Supply < Capacity THEN Supply ELSE Delay logic.
What is a good use of RANKCUMULATE?	Used in allocation problems where you need to assign quantities cumulatively up to a cap (e.g., max capacity).
What are snapshot modules and when to use them?	Store point-in-time data like forecast, orders, etc. Use Copy actions to preserve state. Essential for version-free analysis.
What's a robust way to model lead time variability?	Use multiple lead time values (Min, Max, Avg) and simulate risk scenarios using SELECTED VALUE or randomizer input.
What is pegging in Anaplan context?	Manual or logic-based allocation of supply to demand. Helps with traceability of which demand caused which order.
How to simulate shortage allocation by priority?	Sort customers or SKUs by priority. Allocate supply using MIN(SupplyAvailable, Demand) until supply exhausted.
What is meant by 'one version always active' strategy?	Use SYS Version module to flag Active Version. Use SELECTED logic or filtering to show only active plan in dashboards.
What's the simplest way to count number of SKUs with zero forecast?	Create Boolean: `Forecast = 0`, then use `SUM` or `COUNT` over that Boolean to count.
What is constrained WoS and how is it calculated?	WoS = Inventory / Constrained Demand. Use constrained demand in denominator, not unconstrained or forecast.
How to model staggered replenishment?	Use condition like `IF MOD(WEEK(TIMESTAMP), X) = 0 THEN Order ELSE 0`. Helps simulate interval ordering.
What's a good way to model 'last 13 weeks' logic?	Use SYS Time module with Week Number and Quarter logic. Create rolling 13-week window with offset ranges.
What is base stock policy?	Always maintain a fixed level of stock (BaseStock). Each order replenishes gap between Base and Current Inventory.
How to prevent negative inventory in projections?	Use `MAX(0, ProjectedInventory)` or cap logic. Optional alerts for negative projections before applying cap.
How to simulate alternative BOM scenarios?	Create versions of BOM or use Boolean selectors for Alternate BOM logic. Helps simulate sourcing or cost optimization.
What's the approach to build custom time rollups?	Use SYS module to map custom periods (e.g., Pre-Season, Season). Aggregate values manually using Boolean filters or TIMESELECTED.
What's the purpose of dynamic cell access in snapshots?	DCA hides or locks historical data while allowing current week edits. Prevents retro changes to frozen snapshots.
How to structure an Anaplan data hub?	Keep it flat, clean, and dimensionally optimized. Use raw staging modules for imports, then transform to structured views for spoke models using Saved Views or export modules.
What is the use of Line Item Subsets (LISS)?	LISS allows you to treat selected line items as list members. Use in reporting, filtering, or for aggregation across measures.
How to create a weekly to monthly mapping?	Create a SYS Time module with both week and month time scales. Use LOOKUP or mapping line items to bridge between them.
How to forecast with causal drivers?	Use regression logic or correlation ranking between demand and external factors like weather, promotions, etc. Create influence weights and apply to base demand.
Why is Anaplan better than Excel for planning?	It enables real-time collaboration, audit trail, version control, dimensional scaling, and centralized logic - all while eliminating Excel fragility.
What is scenario planning and how is it enabled in Anaplan?	Scenarios can be modeled using list-based dimensions (Scenario List). Use SELECTED flags, apply filters, or structure scenario selector modules in dashboards.
What is the use of Dynamic Cell Access (DCA)?	DCA restricts read/write access based on Boolean drivers. Use for version control, snapshots, security, or UX-friendly editing experience.
How does SELECT work in Anaplan?	SELECT is used to reference a specific item from a list or hierarchy. Use sparingly as it breaks model flexibility and often fails with selective access.
How to prevent SELECT misuse?	Avoid SELECT on dynamic dimensions (like Versions, Time, User). Prefer LOOKUP or conditional logic using Boolean selectors or system modules.
How to model expired stock logic?	Use Inventory Age and max shelf-life. Flag `IF Age > Expiry THEN TRUE`. Adjust projections accordingly or auto-deplete from inventory.
What is consensus forecasting?	A demand plan agreed upon by multiple stakeholders - Sales, Marketing, Finance. Anaplan enables this via user selectors, versions, or scenario overlays.
How to apply capacity override in constrained plan?	Add Capacity Override input line item. Use `IF Override THEN OverrideValue ELSE CalculatedCapacity` logic in final constraint calculation.
How to use ISFIRSTOCCURRENCE function?	Flags the first time a list item occurs in a dimension. Useful for deduplication, rank-1 logic, or initial assignment conditions.
What is meant by PLAN IQ in Anaplan?	PlanIQ is Anaplan's native AI-based forecasting engine. Uses Amazon Forecast in backend. Ideal for univariate time-series prediction tasks.
What is a typical top-down planning logic?	Start with global or region-level forecast, then allocate to products or customers based on weights, historical split, or targets.
What is bottom-up planning in Anaplan?	Start at SKU/Customer level and roll up using native hierarchy. Ensure granularity is not too sparse for practical use.
How do you capture manual forecast overrides?	Use separate line item for override input. Final forecast = `IF Override THEN Override ELSE StatisticalForecast`. Use Boolean or ISNOTBLANK.
What is multi-echelon inventory planning?	Accounts for multiple layers (DCs, Plants, Warehouses). Optimizes overall network inventory, not just local reorder points. Requires lead time and routing visibility.
What is mean absolute percentage error (MAPE)?	MAPE = ABS(Forecast - Actual) / Actual. Good for comparing forecast quality across SKUs. Handle divide-by-zero cases carefully.
What is the role of Time Ranges in Anaplan?	Time Ranges limit a module's time scope, improving performance and memory. Avoid using model calendar for all modules.
What is a good way to manage time selectors in dashboards?	Use SYS Time module with user-specific Boolean selectors. Enable dynamic filtering of views and charts by current user.
How to model fill rate in case of lead time?	Use POST(Orders, LeadTime) and compare with Shipment Plan or Receipts. Align demand and supply to correct week offset.
How to use AGENTS in supply chain planning?	Agents simulate decision rules. In Anaplan, design agent-based logic using IF-THEN, Boolean triggers, or rule tables.
What is implied service level?	Service Level = Probability that inventory is sufficient to meet demand. High SL requires more SS. Use Z-score based safety stock logic.
What is forecast consumption?	As actual orders arrive, reduce forecast by that amount. Use `MIN(Forecast, Actual Order)` and adjust future demand accordingly.
What is meant by static vs dynamic sourcing?	Static sourcing always assigns one fixed source per product. Dynamic allows sourcing based on availability, capacity, or cost logic.
How to align versions between modules?	Use SYS Version module. Create mapping line items and LOOKUP to pull from matching version across modules.
What is a good testing strategy in model building?	Unit test line items, build test modules, simulate boundary cases. Tag all assumptions and edge case flags.
What is production list in Anaplan?	Lists marked as Production can be edited in Deployed Mode (Prod). Non-prod lists cannot be changed post-deployment. Use subsets smartly.
What is the difference between Reorder Point and Reorder Quantity?	ROP tells when to reorder. RQ tells how much to reorder. ROP = SS + Demand during Lead Time. RQ = Target - Current Inventory.
How to model pipeline inventory in Anaplan?	Pipeline = Orders placed but not yet received. Use POST(Orders, LeadTime) - Receipts to simulate pipeline.
What is the meaning of CUMULATE(LineItem, FALSE, List)?	Cumulative sum across a list instead of time. Useful when time is not a dimension (e.g., stages, periods).
What is a good summary setting for error metrics like MAPE or RMSE?	Set Summary: NONE for Time. Use Min, Max, or Avg for list hierarchy. Weighted average if required with volume weight.
How to simulate seasonal uplift in Anaplan?	Create Seasonality Index (e.g., by week or month). Multiply base forecast with index. Normalize index to average = 1.
What is allocation logic in constrained planning?	Distribute available supply across demands proportionally or based on priority. Use IF-THEN or RANK-based allocation.
What is meant by pegging logic in Anaplan?	Pegging = Mapping of supply back to demand (or vice versa). Use allocation tables, order ID references, or batch-level mapping.
How to simulate forecast bias?	Bias = Forecast - Actual. Positive = overforecast. Negative = underforecast. Track moving bias per SKU and adjust forecasts.
What is frozen period logic?	Freeze certain past or near-term weeks from being overwritten. Use DCA or conditionally lock formulas during these weeks.
What's the difference between POST and OFFSET in Anaplan?	POST pushes values forward over time (adds to target). OFFSET fetches from earlier/later period (overwrites). Use POST for accumulation.
What is ABC XYZ classification in supply chain?	ABC = Revenue/Cost-based classification. XYZ = Forecastability. Use RANK + STDDEV or CV (Coefficient of Variation) logic to group SKUs.
What is the role of Data Tags or Meta Flags in modeling?	Use Booleans or tags to categorize SKUs, Locations, etc. Useful for filtering, exception reports, and segmented analysis.
What is the ideal way to model sourcing calendars?	Use a SYS Week module with sourcing availability flags. Use `IF Available THEN Source ELSE 0`. Helps simulate sourcing windows.
What is the correct use of SYS modules?	System modules store properties, mappings, flags. Should not be calculated heavy. Centralized for reuse across modules.
What is prebuild vs postbuild logic in snapshots?	Prebuild = Input copied into snapshot. Postbuild = Calculated fields derived post snapshot. Keep both separate for audit and freeze.
What is the use of NEXT and PREVIOUS in inventory aging?	Use `NEXT(Age)` or `PREVIOUS(Age)` to simulate weekly aging of lots. Helps track expiry, obsolescence, and FIFO flow.
How to test scenario logic dynamically?	Create scenario switcher. Compare Base vs Optimistic vs Worst Case. Use separate scenario modules or versioned logic with filters.
How to model minimum order quantity in Anaplan?	OrderQty = `MAX(MOQ, TargetQty)`. Apply rounding logic if needed. Helps align system outputs with vendor constraints.
What is Anaplan Optimizer and when to use it?	Used for solving linear optimization problems (e.g., transportation, sourcing). Write objective function and constraints. Requires Optimizer license.
What is preferred: TEXT or CODE as mapping key?	Use CODE for better performance, especially in large models. Avoid TEXT when possible. CODE is unique and indexable.
How to simulate order batching every N weeks?	Use MOD(WEEKNUM, N) = 0 to trigger ordering weeks. Combine with logic to hold demand till order week arrives.
How to simulate customer segmentation-based planning?	Add Customer Segment as a dimension or attribute. Use separate rules, targets, and allocation logic per segment.
How to model exception alerting in dashboards?	Use flags: `IF Metric > Threshold THEN TRUE`. Color code the flags. Use UX conditional formatting to show alerts.
How to handle NULL or blank values in Anaplan?	Use ISBLANK() function. Avoid calculations on blanks. For text: `IF ISBLANK(Text) THEN Default`. For numbers: guard with IF.
What is the function of 'ANY' summary in Booleans?	Returns TRUE if any child Boolean is TRUE. Useful for flags in hierarchy, rollup alerts, or partial completion.
How to track demand fill rate by channel or region?	Add Channel or Region dimension. Use `SUM(FilledQty) / SUM(Demand)` per slice. Create summary dashboard per dimension.
How to model one-time promotion demand?	Use Promotion Flag. Add incremental uplift for promotion weeks. Keep base forecast separate from promo-adjusted forecast.
How to aggregate time-series data by month?	Use TIME scale change (week to month) or create mapping in SYS module. Use SUM or MOVINGSUM with appropriate alignment.
How to simulate product substitution logic?	Create substitution mapping. If Item A = 0 and SubA Available, then fulfill with SubA. Helps during shortages.
How to simulate reverse logistics in supply chain?	Create a Return module with return flags, quantities, and reason codes. Map to upstream flows. Aggregate returns by product/customer and net off inventory projections.
What is the best way to track late orders in Anaplan?	Use `IF Receipt Week > Requested Week THEN TRUE`. Calculate delay = Receipt Week - Order Week. Summarize delays by SKU/customer.
How to model order aging?	Assign weeks since order date to each order. Use `Age = CurrentWeek - OrderWeek`. Segment into buckets (0-1 wk, 1-2 wks, etc.) for visibility.
What is a digital twin in Anaplan terms?	A digital replica of physical planning logic. Simulate scenarios, test outcomes. In Anaplan: build rule-based models that reflect supply chain flows.
How to simulate vendor lead time variability?	Use historical lead time range (Min, Max, Avg). Create logic: `IF Randomizer THEN Max ELSE Avg`. Helps simulate risk-aware planning.
How to track on-time in-full (OTIF)?	OTIF = Orders delivered on time AND in full / Total Orders. Use two Booleans (On Time, In Full). Multiply and average for OTIF %.
What is inventory carrying cost and how to model it?	Cost of holding inventory = Inventory * Carrying Rate (%). Apply weekly/monthly, depending on time scale. Helps in cost-to-serve models.
How to model partial delivery scenarios?	Track ordered qty vs delivered qty. If Delivered < Ordered, mark as Partial. Use Fill Rate logic and apply reason codes if needed.
What is the role of freight cost modeling in Anaplan?	Freight = Volume * Rate (per unit/distance). Use freight zones, lanes, and vehicle types to calculate total freight cost per order/region.
How to model lead time based on vendor or location?	Create SYS Vendor or SYS Location module. Store lead time. Use LOOKUP to pull lead time dynamically into planning modules.
What are inventory turns and how are they calculated?	Turns = Annual Demand / Avg Inventory. In Anaplan, use: `SUM(Demand over year) / AVERAGE(Inventory)`. Higher turns = more efficient.
What is base-safety cycle logic in supply planning?	Split demand into Base (normal) and Safety (buffer). Plan base via forecast, and safety using SS rules. Add both in total supply plan.
How to flag shortfall in constrained plans?	Shortfall = Demand - Supply. IF Supply < Demand THEN TRUE. Helps identify gaps and support escalation or alternate sourcing.
What is time-phased planning?	Plan is broken into weekly/monthly buckets. Allows visibility across horizon. In Anaplan, each time period is a column, making time-phased logic native.
How to handle zero demand weeks in planning?	Use IF Demand > 0 THEN Plan ELSE 0. Avoid over-planning. Flag consecutive zeros to highlight discontinued SKUs or inactive customers.
What are fill rate types?	Order Fill Rate, Line Fill Rate, Case Fill Rate. Order fill: entire order met. Line fill: line item met. Case fill: % of order qty filled.
What is the meaning of perfect order?	Order that is delivered on time, in full, with correct invoice and undamaged. KPI = % of perfect orders vs total orders.
What is pipeline fill rate?	Rate at which pipeline orders are fulfilled. Includes open POs and in-transit inventory. Often measured by aging or backlog resolution speed.
How to calculate average lead time?	Use: `SUM(Actual Receipt Date - Order Date) / Number of Orders`. In Anaplan, track historical order/receipt pairs with DATE-formatted line items.
What is mode shift planning?	Deciding between air, sea, rail, etc., based on urgency and cost. In Anaplan: build logic to flag orders eligible for alternate modes.
How to handle products with variable unit of measure?	Normalize all quantities to base UOM (e.g., eaches). Convert as needed using UOM conversion tables in SYS module.
What is demand shaping?	Actively influencing demand using pricing, promotions, or availability. In Anaplan: model uplifts, cannibalization, and promo effectiveness.
What is cannibalization logic in forecasting?	When promo of one product reduces demand for another. Model via ratio or offset logic. E.g., `Forecast B = Forecast B - % of Promo A Uplift`.
How to create cross-SKU planning logic?	Use mapping modules to relate Product A to B. Use SUM and LOOKUP based on the mapping to influence plans or transfer logic.
How to simulate scenario-driven pricing?	Use a Scenario list, with price tables per scenario. Reference via LOOKUP from selector. Allows margin simulations across pricing strategies.
How to model bill of materials (BOM) in Anaplan?	Create BOM module with Parent, Component, and Quantity. Use SUM to roll up component demand based on finished goods forecast.
How to forecast with multi-source inputs?	Build separate forecast modules (Statistical, Sales, Marketing). Combine using weights or override rules. Track source confidence if needed.
How to deal with obsolete inventory?	Flag items with no demand over N weeks. Adjust projections. Use logic: `IF Demand = 0 for 13+ weeks THEN Mark as Obsolete`.
How to plan shelf-life sensitive products?	Track inventory age, shelf life, expiry weeks. Use FIFO logic and flag expiring lots. Plan disposal or discounting if needed.
How to simulate phased product launch?	Create launch week flags. Demand = 0 before launch. Apply ramp-up % for initial weeks. Can also model distribution rollout separately.
What is horizon-based planning?	Different rules for different time horizons. Near term = constrained, Mid = capacity checked, Long = unconstrained. In Anaplan, use time filters and SWITCH logic.
How to model minimum shelf life at receipt?	For inbound items, enforce: `Receipt Week ≤ Expiry Week - MinShelfWeeks`. Helps align procurement with compliance.
What is the Coefficient of Variation (CV) in demand planning?	CV = STDDEV / Mean. Measures demand variability. High CV = unpredictable SKUs. Helps in classifying XYZ or safety stock tuning.
How to plan for Black Swan events?	Build What-If logic. Model with shock multipliers or override inputs. Use scenario switches and document all assumptions.
What is lot-for-lot ordering?	Order exactly as needed, no extra. Reorder quantity = Net Requirement. Reduces holding cost but increases order frequency.
How to model economic order quantity (EOQ)?	EOQ = sqrt((2 * Demand * OrderCost) / HoldingCost). Use this to suggest reorder quantities. Static unless costs or demand change.
How to model multi-sourcing risk logic?	If Primary Source = Fail, then use Secondary. Create fallback rules and triggers. Use SWITCH or RANK-based fallback logic.
How to show coverage days dynamically?	Coverage = Inventory / Avg Demand per Day. In Anaplan, convert week demand to daily, or use custom buckets with rolling averages.
How to create source-of-truth flags?	Use Boolean `Is Source` flags in mapping modules. Centralize in SYS modules to ensure only one source is used at a time.
What is delay propagation logic?	Delays upstream affect downstream plans. In Anaplan: POST delay flags or push impact weeks via lead time chains.
What is touchless planning?	Minimal manual intervention. System handles planning based on logic and thresholds. Requires robust automation and exception handling.
What is forecast value add (FVA)?	FVA = Forecast Accuracy (Statistical) vs (Manual). Shows which team/process improves or degrades forecast. Helps justify human overrides.
What is push vs pull strategy?	Push: Forecast-driven (e.g., make to stock). Pull: Order-driven (make to order). Anaplan can simulate both via scenario models.
How to simulate material availability constraints?	Use inventory + in-transit + orders. If < required quantity, constrain plan. Add shortages and flag critical SKUs.
How to do automated gap analysis in plans?	Compare Plan vs Target. Gap = Target - Plan. Flag if gap > threshold. Aggregate by owner, region, or SKU.
How to model capacity buckets?	Define capacity per week or resource. Use SUM(Planned Load) vs Capacity. Use Boolean flag if overload occurs.
How to model rolling budget?	Use LOOKUPs with rolling offset. For example, `OFFSET(Prior Budget, -12)` gives rolling YTD or trailing budget alignment.
What is pull-through logic in allocation?	If SKU A is unavailable, pull allocation to SKU B. Or future to current period. Needs mapping and override logic.
What is the concept of E2E Visibility in Anaplan?	End-to-end visibility means all supply chain stages (source to customer) are visible in one model. Achieved by combining flows and using drilldowns.
How to ensure version-controlled input override?	Allow manual input only for selected version. Use DCA or `IF Version = 'Override' THEN Input ELSE Blank` logic.
How to model blackout weeks in supply planning?	Flag weeks as Blackout = TRUE. In supply plan, `IF Blackout THEN 0 ELSE PlanQty`. Blocks orders in those periods.
What is bullwhip effect and how to model it?	Small demand changes amplify upstream. Model via demand variance, lead time, and safety stock interactions. Show impact by layer.
How to model backorder recovery logic?	Backorder = Unfulfilled Orders. POST forward based on capacity. Use: `Backlog This Week + Unfilled = Recovery Plan`.
What is lead time bias in forecasting?	Over-accounting for lead time causes overstocking. Align forecast cut-offs to lead time horizon. Validate forecast aging logic.
How to model container fill rate or truck utilization?	Utilization = Used Volume / Max Volume. Track per shipment. Model pack sizes and constraints to optimize load.
How to avoid circular reference in inventory logic?	Use OFFSET or PREVIOUS instead of referencing future periods. Split line items (e.g., Inventory Projected vs Inventory Consumed).
How to model material substitution logic?	If Material A = 0, and Sub Material B exists, then allocate demand to B. Requires mapping table and override rules.
How to model demand drop catch-up?	If demand drops, and later recovers, show recovery plan as demand gap over next few periods. Use flags and POST or spreading logic.
How to build a rolling 5-week average for demand?	Use: `AVERAGE(OFFSET(Demand, -1, 0), OFFSET(Demand, -2, 0), ..., OFFSET(Demand, -5, 0))`. This creates a rolling backward-looking average.
How to show first non-zero demand week?	Use a Boolean: `Demand <> 0`. Then use RANK or ISFIRSTOCCURRENCE over time to identify the first true instance.
How to build exception reports in Anaplan?	Use conditional logic to flag anomalies (e.g., `Demand > Forecast * 1.2`). Aggregate Booleans for summary dashboarding.
What is slow-moving inventory and how to detect it?	Inventory with low or no demand over a period. Flag SKUs with `Sales = 0 for N weeks`. Helps identify write-offs or reallocation.
How to use PREVIOUS with time-based cumulation?	`IF NOT IsFirstWeek THEN PREVIOUS(Value) + CurrentWeekValue`. Avoids circularity compared to CUMULATE in complex formulas.
How to build demand classification: ABC/XYZ?	A: High revenue; B: Medium; C: Low. X: Stable; Y: Moderate; Z: Erratic. Use Revenue and CV to classify. Store as attributes.
How to model forecast override approval workflow?	Use two modules: Input and Approval. Store override separately. Approved override = `IF Approved THEN Override ELSE Forecast`.
How to create a rolling reset every 13 weeks?	Create a SYS Time module with Quarter mapping. Reset cumulative logic every quarter using `IF IsFirstWeekOfQuarter THEN Base ELSE ...`.
How to handle returns in fill rate calculations?	Use: `Net Shipped = Shipped - Returns`. Fill Rate = Net Shipped / Orders. Ensure returns are time-aligned with original order.
